height_cm,weight_kg,age,hometown,sport,classification,program
170.2,,24,"Palm Coast, Fla.",Artistic Swimming,,Team USA
154.9,,26,"Corona Del Mar, CA",Para Track and Field,,Team USA
167.6,,16,"Raleigh, NC",,,Team USA
170.2,,37,"Pleasanton, CA",Softball,,Olympian
172.7,,51,"Portland, OR",Goalball,,Paralympian
172.7,,52,"Boise, ID",Cycling,,Olympian
188.0,,23,"Appleton, WI",Cross-Country Skiing,,Team USA
198.1,,25,"Dover, OH",Swimming,,Olympian
167.6,,27,Park City,,,Team USA
193.0,,23,"Lincolnshire, IL",,,Team USA
200.7,,,"Yorba Linda, CA",Volleyball,,Team USA
177.8,,39,Dallas,,,Olympian
167.6,,30,West Hills,,,Team USA
162.6,,39,Ketchum,,,Olympian
165.1,,32,"Colorado Springs, CO",Weightlifting,,Olympian
177.8,,29,"Woodside, CA",Alpine Skiing,,Team USA
167.6,,29,"Los Alamitos, CA",Taekwondo,,Team USA
188.0,,37,"Passaic, NJ",Track and Field,,Olympian
175.3,,37,"Riverside, CA",Track and Field,,Olympian
188.0,,46,,Karate,,Team USA
180.3,,41,Cedar Rapids,,,Olympian
162.6,,30,"Jordan, MN",Wheelchair Basketball,,Paralympian
177.8,,25,"Raleigh, NC",Para Swimming,,Paralympian
190.5,,,Tucson,Team Handball,,Olympian
170.2,,,"St. George, Utah",,,Team USA
172.7,,29,"Dallas, TX",Basketball,,Olympian
137.2,,22,"Spokane, WA",Para Track and Field,,Team USA
167.6,,44,"Chicago, IL",,,Team USA
175.3,,,,Tennis,,Team USA
170.2,,36,"Minneapolis, MN",Rugby,,Team USA
185.4,,42,"Baton Rouge, LA",Basketball,,Olympian
185.4,,33,"Terre Haute, IN",Para Swimming,,Paralympian
188.0,,34,"Conyers, GA",Baseball,,Olympian
180.3,,,,Tennis,,Team USA
180.3,,58,,,,Olympian
200.7,,34,"Portland, OR",Volleyball,,Olympian
175.3,,47,"Lemoore, CA",Para Track and Field,,Paralympian
190.5,,37,"Uniondale, NY",Boxing,,Team USA
188.0,,30,"Franklinville, N.J. , NJ",Track and Field,,Team USA
170.2,,33,"Boston, MA",Para Track and Field,,Paralympian
165.1,,40,"Lemon Grove, CA",,,Team USA
172.7,,27,"San Jose, CA",Softball,,Team USA
172.7,,43,"Chico, CA",Bobsled,,Olympian
185.4,,44,"Long Beach, CA",Water Polo,,Olympian
193.0,,34,"Alexandria, Va.",Rowing,,Team USA
190.5,,42,"Minneapolis, MN",Ice Hockey,,Olympian
177.8,,23,"Chevy Chase, MD",Swimming,,Olympian
165.1,,29,"Indianapolis, IN",Diving,,Olympian
175.3,,27,"South Pasadena, CA",Taekwondo,,Team USA
167.6,,55,Vancouver,,,Olympian
175.3,,28,"Steamboat Springs, CO",Snowboarding,,Team USA
165.1,,35,"Minneapolis, MN",Curling,,Team USA
165.1,,24,"San Jose, CA",,,Team USA
185.4,,34,"Wichita, KS",Track and Field,,Team USA
162.6,,45,Tahoe City,,,Olympian
167.6,,54,"Atlanta, GA",Ice Hockey,,Olympian
190.5,,34,"Kannapolis, NC",Track and Field,,Olympian
185.4,,44,"Lake Placid, NY",Biathlon,,Olympian
177.8,,74,"Bemidji, MN",Curling,,Olympian
188.0,,25,"Holly Springs, NC",Tennis,,Olympian
180.3,,,,,,Team USA
177.8,,32,"Louisville, KY",Track and Field,,Olympian
175.3,,32,"Crofton, KY",Sitting Volleyball,,Team USA
160.0,,34,"Covina, California",Skateboarding,,Team USA
193.0,,33,"Scott City, KS",Basketball,,Team USA
172.7,,29,"Winston Salem, NC",Swimming,,Olympian
154.9,,52,"Roswell, GA",Triathlon,,Paralympian
190.5,,41,"Nashville, TN",Tennis,,Olympian
185.4,,39,"Daytona Beach, FL",Rugby,,Olympian
170.2,,32,"Edmonds, WA",Figure Skating,,Olympian
175.3,,29,Santa Maria,Boxing,,Olympian
180.3,,54,"San Diego, CA",Wheelchair Tennis,,Paralympian
170.2,,,"Delray Beach, Fla.",,,Paralympian
203.2,,54,"Fort Wayne, IN",Volleyball,,Olympian
154.9,,34,Benton,,,Paralympian
180.3,,24,"Detriot, MI",,,Olympian
160.0,,24,"Denver, CO",,,Team USA
172.7,,33,"Virginia Beach, VA",Soccer,,Paralympian
188.0,,37,"Uniontown, PA",Shooting,,Team USA
154.9,,37,"Blue Bell, PA",Field Hockey,,Olympian
185.4,,46,"Granby, CO",Para Alpine Skiing,,Paralympian
157.5,,51,"San Gabriel, CA",Table Tennis,,Olympian
193.0,,26,"Homosassa, FL",,,Team USA
177.8,,37,"Dubuque, IA",Volleyball,,Olympian
180.3,,53,"Minnetrista, MN",Curling,,Team USA
182.9,,32,"Perkasie, PA",Cycling,,Olympian
188.0,,25,"Hingham, MA",Swimming,,Olympian
167.6,,34,"Honolulu, HI",Rugby,,Olympian
180.3,,25,"Colorado Springs, CO",Para Shooting,,Paralympian
177.8,,35,"Johnstown, PA",Skeleton,,Olympian
182.9,,45,Tampa,,,Olympian
167.6,,45,Nashotah,,,Olympian
170.2,,28,"San Diego, CA",Canoe/Kayak,,Team USA
182.9,,64,"San Diego, CA",Canoe/Kayak,,Olympian
160.0,,32,"Miami, FL",Sailing,,Olympian
170.2,,29,Lehi,,,Team USA
160.0,,47,Durango,,,Olympian
203.2,,33,"Ames, IA",Basketball,,Olympian
162.6,,44,Durango,,,Olympian
162.6,,32,St. Louis,,,Team USA
157.5,,27,"Eastvale, CA",Ice Hockey,,Olympian
172.7,,29,"Marietta, GA",Softball,,Team USA
152.4,,31,"Honolulu, HI",Wheelchair Tennis,,Paralympian
205.7,,30,"North Tustin, CA",Water Polo,,Olympian
188.0,,39,"Davis, CA",Paratriathlon,,Paralympian
167.6,,47,Bethel,,,Paralympian
162.6,,25,"Woodbury, MN",Curling,,Team USA
172.7,,42,Venice,,,Olympian
190.5,,34,"Mesa, AZ",Baseball,,Team USA
188.0,,36,"Pacifica, CA",Rugby,,Olympian
180.3,,28,"Woodbury, MN",Curling,,Team USA
165.1,,39,Webster City,,,Olympian
190.5,,33,Bethel Park,,,Olympian
185.4,,38,"St. Thomas, VI",Sailing,,Olympian
162.6,,19,"San Jose, CA",Artistic Swimming,,Team USA
180.3,,22,"Arlington, VA",Para Track and Field,,Paralympian
182.9,,52,"Hart, MI",Wheelchair Tennis,,Paralympian
180.3,,35,"Lakewood, OH",,,Team USA
167.6,,40,"Tampa, FL",Track and Field,,Olympian
165.1,,45,Corvallis,,,Olympian
190.5,,36,"Champaign, IL",Volleyball,,Olympian
172.7,,56,"Evergreen, CO",Para-Cycling,,Paralympian
172.7,,31,"Whitehall, NY",Bobsled,,Olympian
154.9,,43,Shoemakersville,Field Hockey,,Olympian
165.1,,,Valley Springs,,,Team USA
144.8,,37,"Harbor Springs, MI",Para Track and Field,,Paralympian
177.8,,41,"Williston, Fla. , NH",Equestrian,,Team USA
157.5,,34,Mobile,,,Team USA
185.4,,37,"Ann Arbor, MI",Figure Skating,,Olympian
162.6,,28,"Ceres, CA",Softball,,Team USA
172.7,,67,"Seattle, WA",Para Alpine Skiing,,Paralympian
172.7,,27,"Los Gatos, CA",Cycling,,Olympian
157.5,,24,"Savage, MN",Wheelchair Basketball,,Paralympian
177.8,,38,"Rogersville, MO",Baseball,,Team USA
160.0,,55,"Chagrin Falls, Ohio , FL",Equestrian,,Team USA
182.9,,44,"Iron River, MI",Snowboarding,,Olympian
193.0,,,Gardignan,Team Handball,,Olympian
185.4,,31,"Maui, Hawaii",Surfing,,Team USA
175.3,,32,"College Station, TX",Shooting,,Team USA
188.0,,26,"Cypress, TX",Baseball,,Olympian
185.4,,46,"Dresden, OH",,,Team USA
190.5,,32,"St. Louis, MO",Basketball,,Team USA
