height_cm,weight_kg,age,hometown,sport,classification,program
177.8,,32,Ventura,,,Team USA
170.2,,33,"Florence, WI",Ski Jumping,,Olympian
175.3,,43,Siren,,,Olympian
182.9,,42,"Kaukauna, WI",Para Alpine Skiing,,Paralympian
188.0,,30,"Pahala, HI",Volleyball,,Team USA
200.7,,29,"Valencia, CA",Volleyball,,Olympian
193.0,,36,Middletown,,,Olympian
175.3,,34,"Morristown, NJ",Track and Field,,Olympian
177.8,,65,Bennington,,,Olympian
188.0,,34,,Wrestling,,Team USA
182.9,,32,"Fayetteville, NC",Sitting Volleyball,,Paralympian
185.4,,27,"Seattle, WA",Canoe/Kayak,,Team USA
172.7,,53,"Placentia, CA",,,Olympian
170.2,,34,"Mesa, AZ",Soccer,,Olympian
190.5,,44,"Valencia, CA",Swimming,,Olympian
165.1,,39,Columbus,Wrestling,,Team USA
185.4,,34,"Glendale, AZ",Softball,,Team USA
193.0,,30,"Newark, DE",Rugby,,Olympian
157.5,,36,"Houston, TX",Boxing,,Olympian
177.8,,69,"Fort Collins, CO",,,Team USA
185.4,,26,Las Vegas,,,Team USA
185.4,,26,"Miami, FL",Taekwondo,,Team USA
180.3,,53,"Miami, FL",,,Team USA
193.0,,,"Playa Del Rey, CA",Team Handball,,Team USA
182.9,,37,"Miami, FL",Cycling,,Team USA
172.7,,32,Park City,,,Team USA
200.7,,28,"Dallas, Texas",,,Team USA
180.3,,24,"Dallas, Texas",,,Team USA
180.3,,31,"Anaheim, CA",,,Olympian
162.6,,43,Lafayette,,,Olympian
165.1,,27,Hillsboro,,,Olympian
170.2,,27,"Bakersfield, CA",Soccer,,Team USA
182.9,,37,"Laytonsville, MD",Rowing,,Team USA
182.9,,37,"Cashmere, WA",Cycling,,Team USA
200.7,,29,"Atlanta, GA",Tennis,,Olympian
165.1,,37,"Meredith, N.H.",Rowing,,Team USA
185.4,,27,"Stoneham, MA",Sled Hockey,,Paralympian
198.1,,32,St. Louis,Team Handball,,Olympian
177.8,,37,"Chicago, IL",Bobsled,,Olympian
167.6,,36,"Phoenix, AZ",Bobsled,,Team USA
177.8,,74,"San Jose, CA",Track and Field,,Olympian
198.1,,35,"Portage, MI",Track and Field,,Olympian
193.0,,36,"Santa Barbara, CA",Volleyball,,Olympian
162.6,,36,Wichita,Para Swimming,,Paralympian
149.9,,41,Sugar Land,,,Olympian
160.0,,36,St. Louis,,,Paralympian
182.9,,23,"Maple Grove, MN",Ice Hockey,,Olympian
160.0,,,"Keene, NH",,,Team USA
167.6,,27,"Bakersfield, CA",Softball,,Team USA
180.3,,40,"Lafayette, CA",Rowing,,Olympian
175.3,,29,"Winchester, VA",Para Track and Field,,Paralympian
180.3,,36,"Andover, NH",Ski Jumping,,Olympian
182.9,,26,"Hauula, HI",Rugby,,Olympian
175.3,,47,Medford,,,Olympian
182.9,,25,"Vista, CA",Softball,,Team USA
182.9,,26,"Gainesville, GA",Canoe/Kayak,,Team USA
185.4,,45,"Richmond, VA",Rugby,,Olympian
157.5,,28,"Castalia, OH",Para Shooting,,Paralympian
188.0,,28,"Tampa, FL",Sled Hockey,,Paralympian
162.6,,24,"Heber City, UT",Biathlon,,Team USA
167.6,,40,"Bethesda, MD",Canoe/Kayak,,Team USA
175.3,,24,"Hopkinton, MA",Ice Hockey,,Olympian
172.7,,45,"Wellington, FL",Equestrian,,Olympian
162.6,,36,"Sun Valley, ID",Snowboarding,,Olympian
170.2,,39,"Shreveport, LA",Weightlifting,,Olympian
172.7,,32,Kiel,Team Handball,,Team USA
170.2,,21,"Altadena, CA",Diving,,Team USA
172.7,,32,"Seal Beach, CA",Water Polo,,Olympian
188.0,,36,"San Diego, CA",Volleyball,,Olympian
193.0,,39,"Zanesfield, OH",Volleyball,,Team USA
182.9,,30,"Arlington, TX",Para Track and Field,,Paralympian
167.6,,34,"Sacramento, CA",Rugby,,Olympian
177.8,,38,"Chapel Hill, NC",Baseball,,Olympian
167.6,,36,"Virginia Beach, VA",Field Hockey,,Olympian
157.5,,,"Deerfield, IL",,,Team USA
190.5,,34,"Rye, NY",Swimming,,Team USA
195.6,,36,"San Antonio, TX",Swimming,,Olympian
175.3,,41,Irvine,,,Olympian
167.6,,40,"Los Angeles, CA",Track and Field,,Olympian
177.8,,35,"Warwick, Mass.",Rowing,,Olympian
167.6,,,Janesville,,,Team USA
175.3,,44,"Stevens Point, WI",,,Team USA
185.4,,44,"Carlsbad, CA",Volleyball,,Olympian
185.4,,29,"Alpharetta, GA",Table Tennis,,Olympian
175.3,,40,"Wayne, NJ",Bobsled,,Olympian
190.5,,30,"Rouses Point, N.Y.",,,Olympian
188.0,,31,"Bemidji, MN",Curling,,Team USA
182.9,,58,"Bemidji, MN",Curling,,Olympian
188.0,,35,Birmingham,,,Olympian
175.3,,31,"Bend, OR",Snowboarding,,Olympian
188.0,,32,"St. Paul, MN",Track and Field,,Olympian
167.6,,55,"Long Beach, CA",Softball,,Olympian
177.8,,25,"Johnston, RI",,,Team USA
172.7,,31,"Spring Lake, NJ",Judo,,Team USA
175.3,,31,"Aspen, CO",Freestyle Skiing,,Olympian
172.7,,24,"Rancho Cucamonga, CA",,,Team USA
172.7,,29,"Ravenna, OH",Para Track and Field,,Paralympian
195.6,,31,"Honolulu, HI",Volleyball,,Team USA
167.6,,20,"Wilmington, DE",Artistic Swimming,,Olympian
170.2,,25,"Los Angeles, CA",Diving,,Team USA
182.9,,33,"Las Vegas, NV",Cycling,,Olympian
182.9,,29,New Haven,,,Team USA
182.9,,33,"Huntington Beach, CA",Baseball,,Olympian
170.2,,45,Truckee,,,Olympian
185.4,,45,"La Mirada, CA",Softball,,Olympian
193.0,,34,"Ann Arbor, MI",Team Handball,,Olympian
177.8,,36,"Indianapolis, IN",Diving,,Olympian
190.5,,32,"Morristown, NJ",Swimming,,Olympian
185.4,,26,"Clearwater, FL",Swimming,,Olympian
203.2,,35,"Chaffee County, CO",Track and Field,,Olympian
160.0,,23,"Lees Summit, MO",Gymnastics,,Olympian
182.9,,27,"Laguna Beach, CA",Water Polo,,Olympian
180.3,,35,"Simi Valley, CA",Softball,,Team USA
185.4,,29,"Laguna Beach, CA",Water Polo,,Olympian
165.1,,33,"Lake Placid, NY",Luge,,Olympian
177.8,,,,Wrestling,,Team USA
162.6,,43,"Missoula, MT",Para-Cycling,,Paralympian
165.1,,,Manteca,,,Team USA
185.4,,41,Middleton,,,Team USA
198.1,,40,"McPherson, KS",Team Handball,,Team USA
182.9,,42,Bow,Team Handball,,Team USA
205.7,,19,"Newport, ME",Basketball,,Team USA
165.1,,44,"Marblehead, MA",Track and Field,,Olympian
165.1,,30,"Burlington, MA",Ice Hockey,,Olympian
162.6,,35,"Roselle, IL",Track and Field,,Team USA
170.2,,59,"North Massapequa, NY",Boccia,,Team USA
175.3,,39,"Steamboat Springs, CO",Nordic Combined,,Olympian
182.9,,35,"Steamboat Springs, CO",Nordic Combined,,Olympian
165.1,,31,"Spring Grove, PA",Swimming,,Olympian
177.8,,33,"Phoenix, AZ",Volleyball,,Team USA
160.0,,31,"San Diego, CA",Softball,,Team USA
157.5,,23,"Spokane Valley, WA",Para Track and Field,,Team USA
170.2,,22,"Salem, OR",Sitting Volleyball,,Paralympian
185.4,,33,"Haleiwa, HI",Surfing,,Olympian
188.0,,31,"Southington, CT",Skeleton,,Olympian
154.9,,21,"Fulton, MD",,,Team USA
170.2,,52,"Birmingham, AL",Bobsled,,Olympian
170.2,,45,"Tucson, AZ",Softball,,Olympian
175.3,,22,"Wilmington, MA",Para-Rowing,,Paralympian
190.5,,,"West Point, IA",,,Olympian
193.0,,,Abidjan,,,Team USA
182.9,,42,"Alpine, UT",Bobsled,,Olympian
165.1,,40,"Boston, MA",Rugby,,Olympian
162.6,,29,"Wooster, OH",Para Track and Field,,Team USA
157.5,,36,New York,,,Olympian
165.1,,61,"Highland Village, TX",Table Tennis,,Paralympian
190.5,,44,"Costa Mesa, CA",Volleyball,,Team USA
190.5,,37,"Baltimore, Md.",Rowing,,Team USA
175.3,,,,,,Olympian
180.3,,37,"Bend, OR",Alpine Skiing,,Olympian
175.3,,27,"Louisville, KY",Swimming,,Olympian
172.7,,24,"Winhall, VT",Freestyle Skiing,,Olympian
157.5,,26,"South Jordan, Utah",Cycling,,Team USA
172.7,,34,"Boothbay, Maine",Track and Field,,Team USA
172.7,,,Lake Mary,,,Olympian
188.0,,35,Portland,,,Team USA
180.3,,24,"Cincinnati , OH",Swimming,,Olympian
182.9,,38,Kooskia,,,Team USA
170.2,,45,Harrisburg,,,Olympian
157.5,,34,"Toledo, OH",Para-Cycling,,Team USA
185.4,,25,"Grayson, KY",Softball,,Team USA
175.3,,37,"Jupiter, FL",Golf,,Olympian
177.8,,34,"Canby, OR",Rugby,,Team USA
198.1,,40,"Miami, FL",Basketball,,Olympian
167.6,,27,"Ashburn, VA",Soccer,,Olympian
167.6,,,"Washington, WA",,,Olympian
175.3,,25,"Portland, OR",Fencing,,Team USA
185.4,,37,"Peachtree City, GA",Canoe/Kayak,,Olympian
175.3,,35,"Salina, KS",Soccer,,Olympian
180.3,,33,"Queens, NY",Track and Field,,Olympian
167.6,,31,Brentwood,Taekwondo,,Team USA
165.1,,26,"Chappaqua, NY",Ice Hockey,,Olympian
170.2,,33,"Chicago, IL",Track and Field,,Olympian
188.0,,30,"Centennial, CO",Swimming,,Olympian
157.5,,34,"Minneapolis, MN",Cross-Country Skiing,,Olympian
170.2,,,Marquette,Weightlifting,,Team USA
188.0,,40,"Toms River, NJ",Baseball,,Olympian
177.8,,33,"Colorado Springs, CO",Figure Skating,,Olympian
185.4,,20,"Los Angeles, CA",Para Track and Field,,Paralympian
124.5,,27,"Gadsden, AL",Para Track and Field,,Paralympian
170.2,,43,"East Moriches, NY",Wheelchair Rugby,,Paralympian
172.7,,46,"Cypress, CA",Softball,,Olympian
175.3,,32,Lakewood,,,Team USA
162.6,,37,"Grinnell, IA",Baseball,,Team USA
167.6,,54,St. Petersburg,Sailing,,Paralympian
172.7,,34,Saranac Lake,,,Olympian
170.2,,33,"Nixa, MO",Track and Field,,Olympian
185.4,,38,"South Freeport, ME",Sailing,,Paralympian
175.3,,43,Pittsburgh,,,Olympian
175.3,,37,"Palatine, IL",Karate,,Team USA
185.4,,27,"Sealy, Texas, TX",Track and Field,,Team USA
190.5,,28,"Rancho Palos Verdes, CA",Tennis,,Olympian
157.5,,44,Larksville,Field Hockey,,Team USA
188.0,,40,"Columbus, OH",,,Team USA
160.0,,36,"Boston, MA",Taekwondo,,Team USA
172.7,,27,"Hayward, CA",Rugby,,Olympian
162.6,,38,"Houston, TX",Boxing,,Olympian
165.1,,51,"Chicago, IL",Curling,,Olympian
203.2,,52,"Costa Mesa, CA",Volleyball,,Team USA
154.9,,19,"Cincinnati, OH",Artistic Swimming,,Team USA
172.7,,36,Sunnyvale,Artistic Swimming,,Team USA
165.1,,27,"Little Mountain, SC",Baseball,,Team USA
165.1,,37,El Granada,Wrestling,,Team USA
157.5,,34,"Lancaster, PA",Field Hockey,,Olympian
188.0,,43,"Methuen, MA",Track and Field,,Olympian
188.0,,25,"Lee's Summit, MO",Bobsled,,Team USA
165.1,,35,Spokane,Shooting,,Olympian
177.8,,41,"Ogden, UT",Para Snowboarding,,Paralympian
170.2,,32,"Poland, OH",Softball,,Team USA
152.4,,33,"Frederick, MD",Wheelchair Basketball,,Paralympian
160.0,,26,"Mayflower, AR",Para Swimming,,Paralympian
175.3,,25,"Fremont, CA",Badminton,,Olympian
170.2,,32,"Oviedo, FL",Baseball,,Team USA
172.7,,30,"Mishawaka, IN",Swimming,,Team USA
162.6,,42,"Union City, CA",Softball,,Olympian
175.3,,24,Oahu,Boxing,,Olympian
165.1,,,,,,Team USA
190.5,,33,"Lancaster, PA",Baseball,,Team USA
157.5,,36,Altamonte,,,Olympian
182.9,,41,"Los Angeles, CA",Para Track and Field,,Paralympian
177.8,,30,"Wylie, TX",Taekwondo,,Olympian
172.7,,78,"North Haven, CT",,,Team USA
182.9,,41,"The Colony, TX",,,Team USA
160.0,,21,"Fontana, CA",,,Team USA
182.9,,43,Stow,,,Olympian
160.0,,44,Escondido,Field Hockey,,Team USA
175.3,,33,"West Covina, CA",Softball,,Team USA
180.3,,37,"Alpine Meadows, CA",Alpine Skiing,,Olympian
185.4,,32,"East Leroy, Mich.",Rowing,,Team USA
180.3,,40,"Parker, CO",Skeleton,,Team USA
167.6,,29,"Palmdale, CA",Softball,,Olympian
175.3,,,San Francisco,,,Team USA
170.2,,39,"Houston, TX",,,Olympian
185.4,,28,"Winter Garden, FL",Waterski/Wakeboard,,Team USA
180.3,,23,"Avondale, AZ",,,Olympian
149.9,,25,"El Monte, CA",Boxing,,Team USA
185.4,,37,"Colorado Springs, CO",Para Swimming,,Paralympian
167.6,,34,"Willingboro, NJ",Track and Field,,Olympian
162.6,,41,"San Francisco, CA",Rugby,,Team USA
208.3,,,"San Clemente, CA",,,Olympian
165.1,,36,"Hayward, CA",Bobsled,,Team USA
177.8,,25,"Darien, CT",Rowing,,Team USA
177.8,,31,"Wellington, MO",Archery,,Olympian
162.6,,27,"Lake Clear, NY",Biathlon,,Team USA
188.0,,33,"San Diego, CA",Soccer,,Paralympian
172.7,,44,"San Pedro, CA",Team Handball,,Team USA
165.1,,23,"Tontogany, OH",Para Swimming,,Paralympian
170.2,,20,"Chicago, IL",,,Team USA
185.4,,44,"Woodham, FL",Track and Field,,Olympian
182.9,,21,"Lakeland, FL",Artistic Swimming,,Team USA
175.3,,22,"Delray Beach, FL",Tennis,,Olympian
182.9,,40,Columbus,,,Team USA
172.7,,57,"Winter Garden, FL",,,Team USA
180.3,,43,"Lexington, KY",Track and Field,,Olympian
190.5,,27,"Whitefish Bay, WI",Speedskating,,Team USA
177.8,,37,"Aiken, SC",Wheelchair Fencing,,Paralympian
160.0,,57,,Table Tennis,,Olympian
157.5,,30,"Arlington, WA",Para Shooting,,Paralympian
182.9,,34,"Milford Center, OH",Swimming,,Team USA
175.3,,35,"Glenview, IL",,,Olympian
172.7,,39,"Emmaus, PA",Cycling,,Team USA
188.0,,27,"Butler, Pa., PA",Track and Field,,Team USA
152.4,,21,"Springfield, VA",,,Team USA
172.7,,27,"Weston, CT",Para Swimming,,Team USA
147.3,,42,"Herndon, VA",Para Track and Field,,Paralympian
175.3,,63,Indianapolis,,,Olympian
205.7,,36,"Palmdale, CA",Basketball,,Olympian
180.3,,43,"Duluth, MN",Curling,,Olympian
175.3,,33,"West Fairlee, VT",Biathlon,,Team USA
165.1,,25,"Silverthorne, CO",Snowboarding,,Olympian
172.7,,30,"Keller, TX",Taekwondo,,Team USA
182.9,,43,Lake Wales,,,Paralympian
167.6,,24,"Juneau, AK",Biathlon,,Olympian
154.9,,31,Roswell,,,Team USA
195.6,,59,"Redwood City, CA",Para-Rowing,,Paralympian
188.0,,26,"Cartersville, GA",Para Snowboarding,,Paralympian
162.6,,34,"University Place, WA",Track and Field,,Olympian
162.6,,39,"Duluth, MN",Curling,,Olympian
167.6,,39,Green Lane,Field Hockey,,Olympian
162.6,,25,"Redding, CT",Freestyle Skiing,,Olympian
162.6,,30,"Naperville, IL",Para Swimming,,Paralympian
167.6,,35,"Buffalo, NY",Rowing,,Team USA
160.0,,26,"Westminster, CA",Figure Skating,,Olympian
200.7,,50,"Bountiful, UT",Volleyball,,Olympian
185.4,,43,"Boulder, CO",Para-Cycling,,Team USA
188.0,,37,"St. Paul, MN",Volleyball,,Team USA
182.9,,29,"Long Beach, CA",Sailing,,Olympian
177.8,,42,"Los Angeles, CA",Bobsled,,Olympian
165.1,,31,"North Branford, CT",Archery,,Team USA
180.3,,31,"San Antonio, TX",Swimming,,Team USA
165.1,,26,"Jackson, WY",Ski Mountaineering,,Team USA
188.0,,35,"Cambridge, MA",Rowing,,Team USA
182.9,,26,"Coppell, TX",Taekwondo,,Team USA
172.7,,39,"Fairfax, MO",Wheelchair Basketball,,Paralympian
175.3,,33,"Newport Beach, CA",Water Polo,,Olympian
172.7,,,Overland Park,,,Team USA
188.0,,26,"Huntingdon Valley, Pa.",Basketball,,Team USA
182.9,,29,"Pasadena, CA",Track and Field,,Olympian
185.4,,41,"Raleigh, NC",Para Track and Field,,Paralympian
165.1,,26,"Eagle River, AK",Biathlon,,Team USA
167.6,,28,"Austin, TX",Golf,,Team USA
177.8,,45,Carol Stream,,,Olympian
188.0,,41,"North Bellmore, NY",Ice Hockey,,Olympian
190.5,,39,"Claremore, OK",,,Olympian
154.9,,24,"Davie, FL",,,Team USA
188.0,,43,Kennesaw,,,Olympian
167.6,,37,"Lewes, DE",Field Hockey,,Olympian
132.1,,27,"Timonium, Md.  , MD",,,Team USA
170.2,,47,"Rochester, NY",Ice Hockey,,Olympian
170.2,,46,Saugus,,,Team USA
167.6,,25,"San Jose, CA",Soccer,,Olympian
180.3,,32,"Thousand Oaks, CA",Tennis,,Olympian
182.9,,37,"Cary, IL",Ski Jumping,,Olympian
188.0,,,Lancaster,,,Olympian
182.9,,38,"Leland, MI",Volleyball,,Olympian
175.3,,37,"Erie, PA",Bobsled,,Olympian
167.6,,26,"Plano, TX",Figure Skating,,Olympian
188.0,,44,"Columbus, GA",Shooting,,Olympian
170.2,,57,Palestine,,,Olympian
170.2,,35,"Atlantic Highlands, NJ",Gymnastics,,Olympian
175.3,,33,"Atlantic Highlands, N.J.",Gymnastics,,Team USA
185.4,,35,"Chesterfield, NH",Rowing,,Olympian
188.0,,61,"Dublin, TX",Table Tennis,,Paralympian
167.6,,,"Seal Beach, CA",Softball,,Team USA
188.0,,,"Greensboro, NC",Swimming,,Team USA
185.4,,26,"Covington, GA",Track and Field,,Olympian
182.9,,32,"Lawrenceburg, IN",Freestyle Skiing,,Olympian
167.6,,31,"Flemington, NJ",Speedskating,,Olympian
162.6,,29,"Steamboat Springs, CO",Snowboarding,,Olympian
175.3,,32,"Steamboat Springs, CO",Snowboarding,,Olympian
167.6,,30,"Redondo Beach, CA",Figure Skating,,Olympian
180.3,,44,La Habra,,,Olympian
182.9,,34,"Salt Lake City, UT",Alpine Skiing,,Olympian
188.0,,46,Scotch Plains,Swimming,,Olympian
172.7,,43,"Banstead, Surrey",,,Olympian
193.0,,32,"Manhattan Beach, Calif.",Track and Field,,Team USA
177.8,,46,Anchorage,,,Olympian
160.0,,32,"New Braunfels, TX",Baseball,,Team USA
172.7,,22,"Encinitas, CA",Para Track and Field,,Paralympian
182.9,,,Tyler,Wheelchair Basketball,,Paralympian
160.0,,37,"Mohegan Lake, NY",Field Hockey,,Olympian
157.5,,21,"Chicago, IL",Wheelchair Basketball,,Paralympian
167.6,,25,Midlothian,Boxing,,Olympian
154.9,,30,"Fairfax, VA",,,Team USA
188.0,,29,"Steamboat Springs, CO",Nordic Combined,,Olympian
162.6,,32,"Temecula, CA",Softball,,Team USA
170.2,,40,"Los Angeles, CA",Para-Rowing,,Paralympian
170.2,,28,"Hershey , PA",Figure Skating,,Olympian
188.0,,39,"Los Angeles, CA",Team Handball,,Olympian
180.3,,33,"St. Paul, MN",Para Judo,,Paralympian
177.8,,35,Dallas,Track and Field,,Olympian
157.5,,23,"San Jose, Calif.",Artistic Swimming,,Team USA
190.5,,39,"Elmhurst, NY",Squash,,Team USA
180.3,,25,"Vail, CO",Biathlon,,Team USA
157.5,,42,Boston,,,Olympian
180.3,,27,"Littleton, CO",,,Team USA
167.6,,27,"Riverside, CA",Baseball,,Team USA
182.9,,35,"Bellflower, CA",Baseball,,Olympian
177.8,,63,Newtown Square,,,Olympian
177.8,,,West Chester,Para Track and Field,,Paralympian
177.8,,51,Colorado Springs,,,Olympian
185.4,,40,"Dallas, TX",Wheelchair Basketball,,Paralympian
190.5,,39,,Wrestling,,Team USA
165.1,,31,"Lakeside, CA",Softball,,Team USA
152.4,,28,"Urbandale, IA",Gymnastics,,Team USA
172.7,,37,"Santa Monica, CA",Track and Field,,Olympian
190.5,,31,"Morgan Hill, CA",Taekwondo,,Team USA
195.6,,29,"Pittsburgh, PA",Rowing,,Olympian
172.7,,,,Wrestling,,Team USA
177.8,,36,"Fayetteville, NC",Boxing,,Olympian
175.3,,27,"Garden City, N.Y.",Tennis,,Team USA
172.7,,48,"Greenwich, CT",Squash,,Team USA
177.8,,42,"Salt Lake City, Utah",Equestrian,,Team USA
180.3,,56,Anchorage,,,Olympian
172.7,,21,"Lawrence, KS",,,Team USA
203.2,,32,"Portland, OR",Basketball,,Olympian
167.6,,30,Pleasanton,,,Team USA
172.7,,38,"Orlando, FL",Equestrian,,Olympian
182.9,,31,"Sandersville, GA",Basketball,,Olympian
188.0,,26,"South Jordan, UT",Softball,,Team USA
177.8,,35,"Denver, CO",Wrestling,,Olympian
188.0,,24,,,,Team USA
180.3,,33,"Hayward, CA",Basketball,,Olympian
193.0,,26,London,Rugby,,Olympian
190.5,,47,"West Monroe, LA",Sitting Volleyball,,Paralympian
162.6,,39,"West Chester, OH",,,Team USA
180.3,,48,"Brooklyn, NY",Para Alpine Skiing,,Paralympian
198.1,,36,"Saginaw, MI",Basketball,,Olympian
182.9,,35,Burlington,,,Team USA
170.2,,20,"Knoxville, TN",Diving,,Team USA
177.8,,29,"Ponte Vedra Beach, Fla.",Track and Field,,Team USA
195.6,,29,"Canton, NY",Ice Hockey,,Olympian
188.0,,39,"Palmyra, VA",Bobsled,,Olympian
188.0,,49,Monroe,,,Olympian
185.4,,34,"Seekonk, Mass, MA",Track and Field,,Team USA
177.8,,40,Ann Arbor,,,Olympian
152.4,,34,"Downers Grove, IL",Paratriathlon;Para Nordic Skiing;Para Biathlon,,Paralympian
175.3,,42,"Newtown, PA",Bobsled,,Olympian
185.4,,27,"Middlebury, IN",Para Track and Field,,Paralympian
177.8,,49,Salt Lake City,,,Olympian
170.2,,27,"Amityville, NY",Para Track and Field,,Paralympian
182.9,,,"Parker, CO",Swimming,,Team USA
188.0,,35,"Winston-Salem, NC",,,Olympian
162.6,,39,"Berkeley, CA",Rugby,,Olympian
154.9,,29,"Wichita, KS",Softball,,Team USA
190.5,,28,"Amarillo, Texas",Track and Field,,Team USA
182.9,,55,Muskegon,,,Olympian
203.2,,35,"Houston, TX",Basketball,,Olympian
172.7,,25,"Orland Park, IL",Gymnastics,,Olympian
162.6,,38,"Macon, GA",Para Swimming,,Paralympian
213.4,,33,"Plano, Texas",Basketball,,Team USA
162.6,,24,"Santa Cruz, CA",Sport Climbing,,Olympian
167.6,,33,"Craftsbury, VT",Biathlon,,Team USA
180.3,,,,Water Polo,,Team USA
170.2,,33,"Durango, CO",Cycling,,Olympian
190.5,,52,"Portland, OR",Para-Cycling,,Paralympian
170.2,,27,"Frederick, MD",Sled Hockey,,Paralympian
182.9,,47,"Golden, CO",Track and Field,,Olympian
180.3,,25,"Rochester Hills, MI",Ice Hockey,,Team USA
180.3,,29,"Upper Montclair, NJ",Sport Climbing,,Olympian
175.3,,28,"Baltimore, Md., MD",Track and Field,,Team USA
162.6,,40,,,,Olympian
180.3,,31,"Woodbury, MN",Ice Hockey,,Olympian
180.3,,23,"Chanhassen, MN",Ice Hockey,,Olympian
152.4,,22,"Cranford, NJ",Para Track and Field,,Paralympian
180.3,,50,"Detroit, MI",Sailing,,Olympian
175.3,,22,"Lauderdale by the Sea, FL",Diving,,Team USA
175.3,,20,"Whippany, NJ",,,Team USA
177.8,,40,"Bensalem, PA",Ice Hockey,,Olympian
193.0,,39,"McCammon, ID",Para Track and Field,,Paralympian
165.1,,38,"Clinton Township, MI",Speedskating,,Olympian
195.6,,37,"North Hills, CA",Rowing,,Olympian
162.6,,38,"Orlando, FL",Rowing,,Olympian
190.5,,29,"Massena, NY",Luge,,Olympian
180.3,,34,"White Hall, MD",Rugby,,Olympian
180.3,,,,,,Team USA
175.3,,41,"St Louis, MO",Para Judo,,Team USA
193.0,,41,Homer Glen,,,Olympian
190.5,,35,"Bay City, Michigan",Softball,,Team USA
165.1,,21,"Chino Hills, CA",,,Team USA
165.1,,29,"San Jose, CA",Taekwondo,,Team USA
177.8,,45,"Fairfield, CT",,,Team USA
195.6,,29,"Henrico, VA",Swimming,,Olympian
172.7,,38,Newark,Softball,,Team USA
172.7,,27,"North Potomac, MD",,,Team USA
203.2,,33,"Old Lyme, CT",Rowing,,Olympian
190.5,,32,"Millersville, MD",Baseball,,Team USA
172.7,,48,"Duluth, MN",Curling,,Team USA
180.3,,33,Phoenix,Softball,,Team USA
167.6,,36,"East Troy, WI",Sailing,,Olympian
139.7,,19,"Tampa, Fla.",Artistic Swimming,,Team USA
175.3,,44,Wenham,,,Olympian
162.6,,44,Albuquerque,,,Olympian
195.6,,35,"Newport Beach, Calif.",Golf,,Team USA
177.8,,36,"West Chester, OH",Volleyball,,Team USA
172.7,,33,Encinitas,Volleyball,,Team USA
167.6,,,"Cedar Rapids, Iowa",,,Olympian
177.8,,41,"Orem, Utah",,,Team USA
195.6,,26,Stark City,,,Olympian
162.6,,34,Kenmore,Artistic Swimming,,Team USA
185.4,,34,"Sunbury, OH",Shooting,,Team USA
177.8,,33,"Tolland, CT",Para Alpine Skiing,,Paralympian
195.6,,26,"Oshkosh, WI",Basketball,,Olympian
167.6,,25,"Williamsburg, VA",Para Track and Field,,Paralympian
180.3,,28,"Prairie du Chien, WI",Softball,,Olympian
172.7,,38,Carrolton,,,Olympian
182.9,,42,"Anniston, AL",Shooting,,Olympian
157.5,,34,"Haddonfield, NJ",Track and Field,,Olympian
180.3,,26,"Belleville, IL",Karate,,Team USA
170.2,,44,"Annapolis, MD",Sailing,,Olympian
182.9,,32,"Pembroke Pines, FL",Track and Field,,Olympian
157.5,,30,"Indianapolis, IN",Breaking,,Team USA
180.3,,25,"Greenwood Village, CO",Track and Field,,Olympian
193.0,,27,"Salt Lake City, UT",Freestyle Skiing,,Olympian
195.6,,51,"Phoenix, AZ",Swimming,,Olympian
175.3,,47,"Ocala, FL",Equestrian,,Olympian
198.1,,28,"Studio City, CA",Water Polo,,Olympian
185.4,,29,"Alta Loma, CA",Softball,,Team USA
188.0,,55,"Rathdrum, ID",Para Nordic Skiing,,Paralympian
170.2,,28,"Truckee, CA",Cross-Country Skiing,,Olympian
190.5,,32,"Marietta, GA",3x3 Basketball,,Olympian
157.5,,25,"Park City, UT",Freestyle Skiing,,Olympian
188.0,,37,"McFarland, WI",Curling,,Olympian
193.0,,47,"Sacramento, CA",Goalball,,Paralympian
180.3,,38,"Aspen, CO",Cross-Country Skiing,,Olympian
165.1,,35,"McFarland, WI",Curling,,Olympian
170.2,,39,"Remsen, NY",Luge,,Olympian
182.9,,27,"Conover, NC",Team Handball,,Team USA
165.1,,43,Waukesha,,,Olympian
162.6,,54,,Soccer,,Olympian
170.2,,42,"Temecula, CA",Cycling,,Olympian
177.8,,40,"Elkins, WV",Paratriathlon,,Paralympian
175.3,,24,"Montclair, NJ",Soccer,,Team USA
175.3,,,"Oakland, CA",Softball,,Team USA
177.8,,41,,,,Team USA
198.1,,,Huntington Beach,,,Olympian
177.8,,21,"Austin, TX",,,Team USA
172.7,,37,"Eatonton, GA",Shooting,,Olympian
180.3,,33,"Edmond, OK",Volleyball,,Olympian
172.7,,31,"Madison, SD",Para Track and Field,,Team USA
200.7,,47,Laguna Hills,,,Olympian
190.5,,29,"Norwood, MA",Ice Hockey,,Olympian
177.8,,33,Port Orange,,,Olympian
180.3,,36,"Fairbanks, AK",Cross-Country Skiing,,Olympian
185.4,,32,"Fairbanks, AK",Cross-Country Skiing,,Olympian
177.8,,41,"High Ridge, Mo.",Sled Hockey,,Paralympian
170.2,,34,"Santa Rosa, CA",Swimming,,Olympian
170.2,,35,Chandler,,,Team USA
195.6,,44,"Newport Beach, CA",Volleyball,,Olympian
185.4,,32,"Patterson, CA",Para-Rowing,,Paralympian
